order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,3,2,309.08,0.0
2,2,50,2,97.37,0.05
3,2,58,4,513.56,0.15
4,3,15,3,302.27,0.0
5,4,4,2,464.52,0.05
6,4,60,4,258.64,0.05
7,4,9,4,311.56,0.0
8,4,12,3,548.22,0.1
9,5,37,1,432.84,0.0
10,5,57,3,148.16,0.0
11,5,51,3,668.84,0.0
12,6,8,4,226.02,0.0
13,6,22,1,376.07,0.05
14,6,19,1,560.98,0.1
15,6,46,1,471.36,0.0
16,7,53,5,308.18,0.0
17,7,42,3,255.34,0.0
18,7,10,3,325.6,0.05
19,7,43,1,21.61,0.05
20,8,6,3,690.18,0.0
21,8,59,5,638.24,0.0
22,9,35,4,54.49,0.0
23,9,15,3,302.27,0.15
24,9,14,1,212.54,0.0
25,10,44,5,695.1,0.1
26,10,29,4,44.82,0.05
27,11,25,2,570.34,0.0
28,11,27,3,362.74,0.05
29,11,38,4,42.41,0.1
30,11,12,5,548.22,0.15
31,12,25,1,570.34,0.1
32,12,49,3,243.87,0.0
33,12,38,3,42.41,0.0
34,13,24,2,147.49,0.05
35,13,8,1,226.02,0.1
36,14,7,5,273.71,0.0
37,14,34,2,23.93,0.0
38,14,16,2,208.35,0.0
39,15,53,4,308.18,0.1
40,16,48,2,362.06,0.0
41,16,10,2,325.6,0.0
42,16,22,2,376.07,0.0
43,16,44,4,695.1,0.05
44,17,5,3,811.2,0.0
45,18,7,3,273.71,0.1
46,18,49,2,243.87,0.0
47,18,44,2,695.1,0.0
48,19,29,2,44.82,0.0
49,20,19,1,560.98,0.0
50,20,43,4,21.61,0.0
51,20,12,5,548.22,0.0
52,20,11,5,383.12,0.0
53,21,56,2,494.99,0.0
54,22,53,4,308.18,0.15
55,23,53,3,308.18,0.1
56,23,50,2,97.37,0.0
57,24,29,3,44.82,0.0
58,24,1,3,208.48,0.05
59,24,35,4,54.49,0.05
60,25,14,4,212.54,0.15
61,25,42,4,255.34,0.15
62,25,7,1,273.71,0.15
63,25,12,1,548.22,0.0
64,26,16,3,208.35,0.0
65,26,37,5,432.84,0.05
66,26,49,4,243.87,0.0
67,27,12,4,548.22,0.0
68,28,4,4,464.52,0.0
69,28,23,2,565.71,0.1
70,28,1,5,208.48,0.0
71,28,50,5,97.37,0.15
72,29,40,3,577.23,0.0
73,29,60,5,258.64,0.0
74,30,1,4,208.48,0.0
75,30,16,4,208.35,0.1
76,30,26,4,657.97,0.1
77,31,50,3,97.37,0.05
78,31,49,2,243.87,0.15
79,31,13,5,351.99,0.0
80,32,43,2,21.61,0.1
81,32,48,1,362.06,0.0
82,32,47,2,300.91,0.0
83,32,30,1,609.68,0.0
84,33,29,3,44.82,0.05
85,33,45,4,300.59,0.1
